"Extension","Count","TotalMB"
"(no extension)","1864","162.27"
".js","11330","152.69"
".map","4674","83.3"
".png","76","59.64"
".ply","1","49.54"
".exe","5","47.69"
".mjs","1711","46.03"
".zip","3","43.3"
".obj","5","37.66"
".bin","87","36.59"
".ts","5383","25.16"
".dll","2","18.41"
".node","9","16.84"
".cjs","892","14.53"
".jpg","16","11.94"
".json","953","10.48"
".c","3","8.86"
".wasm","8","6.01"
".md","775","4.39"
".webp","28","3.57"
".cts","557","1.47"
".pdf","3","1.46"
".mts","1207","1.07"
".tsx","195","0.71"
".flow","6","0.71"
".h","8","0.69"
".html","9","0.43"
".xml","3","0.41"
".css","25","0.26"
".cc","7","0.16"
".heic","1","0.1"
".snap","23","0.1"
".cpp","18","0.09"
".drc","1","0.09"
".txt","26","0.08"
".db","1","0.07"
".ps1","49","0.06"
".sample","14","0.03"
".svg","6","0.03"
".yml","59","0.02"
".markdown","6","0.02"
".ttf","1","0.02"
".hpp","4","0.01"
".eslintrc","29","0.01"
".gyp","4","0.01"
".cmd","46","0.01"
".csv","1","0"
".applescript","1","0"
".babelrc","2","0"
".coffee","2","0"
".gitkeep","3","0"
".prettierrc","1","0"
".APACHE2","1","0"
".ignore","1","0"
".MIT","1","0"
".BSD","1","0"
".tar","1","0"
".bnf","4","0"
".nix","1","0"
".lock","1","0"
".glb","2","0"
".mp4","2","0"
".env","1","0"
".sql","2","0"
".gitignore","1","0"
".example","1","0"
".mtl","3","0"
".replit","1","0"
".editorconfig","4","0"
".eslintignore","2","0"
".patch","1","0"
".1","2","0"
".nycrc","18","0"
".npmignore","16","0"
".jshintrc","3","0"
".sh","1","0"
".gypi","2","0"
