"Name","Path","SizeMB","FileCount","LastWriteTime","DaysSinceModified"
"node_modules","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\node_modules","438.58","28450","11/10/2025 12:53:21 AM","0"
".git","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\.git","161.23","1330","11/10/2025 12:54:03 AM","0"
"attached_assets","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\attached_assets","141.76","55","11/10/2025 12:49:05 AM","0"
".local","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\.local","36.98","92","11/10/2025 12:49:04 AM","0"
"client","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\client","35.31","142","11/10/2025 12:49:05 AM","0"
"dist","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\dist","31.89","57","11/10/2025 12:49:06 AM","0"
"server","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\server","0.14","17","11/10/2025 12:53:21 AM","0"
"scripts","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\scripts","0.11","34","11/10/2025 12:53:21 AM","0"
"migrations","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\migrations","0.01","3","11/10/2025 12:49:06 AM","0"
"shared","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\shared","0","1","11/10/2025 12:53:21 AM","0"
".github","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\.github","0","0","11/10/2025 12:49:04 AM","0"
".claude","C:\Users\Overlord\LiveProjects\RealityCapturePortfolio\.claude","0","1","11/10/2025 1:05:05 AM","0"
