"Location","FolderName","SizeMB","FileCount"
"Source",".claude","0","1"
"Source",".git","161.17","1319"
"Source",".github","0","0"
"Source",".local","36.98","92"
"Source","attached_assets","141.76","55"
"Source","client","35.31","142"
"Source","migrations","0.01","3"
"Source","scripts","0.11","34"
"Source","server","0.14","17"
"Source","shared","0","1"
"Destination",".claude","0","1"
"Destination",".git","161.17","1319"
"Destination",".github","0","0"
"Destination",".local","36.98","92"
"Destination","attached_assets","141.76","55"
"Destination","client","35.31","142"
"Destination","migrations","0.01","3"
"Destination","scripts","0.11","34"
"Destination","server","0.14","17"
"Destination","shared","0","1"
